Signatur;Titel;Spalte2
 Cod. 11965;Litterae annuae provinciae Bohemiae Societatis Iesu a. 1687;Cod.
 Cod. 11965;Litterae annuae provinciae Bohemiae Societatis Iesu a. 1688;Cod.
 Cod. 11965;Litterae annuae provinciae Bohemiae Societatis Iesu a. 1689;Cod.
 Cod. 11966;Litterae annuae provinciae Bohemiae Societatis Iesu a. 1690;Cod.
 Cod. 11966;Litterae annuae provinciae Bohemiae Societatis Iesu a. 1691;Cod.
 Cod. 11966;Litterae annuae provinciae Bohemiae Societatis Iesu a. 1692;Cod.
 Cod. 11966;Litterae annuae provinciae Bohemiae Societatis Iesu a. 1693;Cod.
 Cod. 11967;Litterae annuae provinciae Bohemiae Societatis Iesu a. 1694;Cod.
 Cod. 11967;Litterae annuae provinciae Bohemiae Societatis Iesu a. 1695;Cod.
 Cod. 11967;Litterae annuae provinciae Bohemiae Societatis Iesu a. 1696;Cod.
 Cod. 11967;Litterae annuae provinciae Bohemiae Societatis Iesu a. 1697;Cod.
 Cod. 11968;Litterae annuae provinciae Bohemiae Societatis Iesu a. 1698;Cod.
 Cod. 11968;Litterae annuae provinciae Bohemiae Societatis Iesu a. 1699;Cod.
 Cod. 11968;Litterae annuae provinciae Bohemiae Societatis Iesu a. 1700;Cod.
 Cod. 11968;Litterae annuae provinciae Bohemiae Societatis Iesu a. 1701;Cod.
 Cod. 11969;Litterae annuae provinciae Bohemiae Societatis Iesu a. 1706;Cod.
 Cod. 11969;Litterae annuae provinciae Bohemiae Societatis Iesu a. 1707;Cod.
 Cod. 11969;Litterae annuae provinciae Bohemiae Societatis Iesu a. 1708;Cod.
 Cod. 11969;Litterae annuae provinciae Bohemiae Societatis Iesu a. 1709;Cod.
 Cod. 11969;Litterae annuae provinciae Bohemiae Societatis Iesu a. 1710;Cod.
 Cod. 11970;Litterae annuae provinciae Bohemiae Societatis Iesu a. 1711;Cod.
 Cod. 11970;Litterae annuae provinciae Bohemiae Societatis Iesu a. 1712;Cod.
 Cod. 11970;Litterae annuae provinciae Bohemiae Societatis Iesu a. 1713;Cod.
 Cod. 11970;Litterae annuae provinciae Bohemiae Societatis Iesu a. 1714;Cod.
 Cod. 11971;Litterae annuae provinciae Bohemiae Societatis Iesu a. 1715;Cod.
 Cod. 11971;Litterae annuae provinciae Bohemiae Societatis Iesu a. 1716;Cod.
 Cod. 11971;Litterae annuae provinciae Bohemiae Societatis Iesu a. 1717;Cod.
 Cod. 11971;Litterae annuae provinciae Bohemiae Societatis Iesu a. 1718;Cod.
 Cod. 11972;Litterae annuae provinciae Bohemiae Societatis Iesu a. 1719;Cod.
 Cod. 11972;Litterae annuae provinciae Bohemiae Societatis Iesu a. 1720;Cod.
 Cod. 11972;Litterae annuae provinciae Bohemiae Societatis Iesu a. 1721;Cod.
